id,term,category,synonyms,icd11_tm2_code,references,description
UN2022,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN3863,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
AY2023,Shwasa,Ayurvedic Disease,"Asthma,Breathing difficulty",TM2-AY8304,Charaka Samhita,A condition of Asthma characterized by Breathing difficulty in Ayurvedic Disease context.
UN2024,War-e-Kabid,Unani Disease,"Hepatitis,Liver inflammation",TM2-UN2260,Canon of Medicine,A condition of Hepatitis characterized by Liver inflammation in Unani Disease context.
AY2025,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY4547,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
AY2026,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY2286,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
HO2027,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO4037,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
SI2028,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI5442,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
HO2029,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO2237,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
SI2030,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI4722,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
HO2031,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO4456,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
SI2032,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI2191,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
YO2033,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO3283,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
AY2034,Shwasa,Ayurvedic Disease,"Asthma,Breathing difficulty",TM2-AY1889,Charaka Samhita,A condition of Asthma characterized by Breathing difficulty in Ayurvedic Disease context.
HO2035,Pulsatilla Profile,Homeopathic Indication,"Weepiness,Changeable",TM2-HO2803,Organon of Medicine,A condition of Weepiness characterized by Changeable in Homeopathic Indication context.
HO2036,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO4769,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
UN2037,Zukan,Unani Disease,"Common Cold,Running nose",TM2-UN3913,Canon of Medicine,A condition of Common Cold characterized by Running nose in Unani Disease context.
AY2038,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY5279,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
SI2039,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI1987,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
YO2040,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO1487,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
SI2041,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI7635,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
HO2042,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO2312,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
HO2043,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO4413,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
SI2044,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI4548,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
HO2045,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO4574,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
AY2046,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY4810,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
YO2047,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO4486,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
HO2048,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO2265,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
YO2049,Stress Management,Yoga Therapy,"Anxiety,Mental peace",TM2-YO4377,Yoga Sutras,A condition of Anxiety characterized by Mental peace in Yoga Therapy context.
AY2050,Amlapitta,Ayurvedic Disease,"Dyspepsia,Sour indigestion",TM2-AY3013,Charaka Samhita,Acid dyspepsia characterized by sour belching and heartburn
AY2051,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY7452,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
YO2052,Weight Reduction,Yoga Therapy,"Obesity,Fat loss",TM2-YO5072,Yoga Sutras,A condition of Obesity characterized by Fat loss in Yoga Therapy context.
UN2053,Zukan,Unani Disease,"Common Cold,Running nose",TM2-UN3961,Canon of Medicine,A condition of Common Cold characterized by Running nose in Unani Disease context.
SI2054,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI3250,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
AY2055,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY5317,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
HO2056,Eupatorium,Homeopathic Indication,"Bone Pain,Breakbone fever",TM2-HO1863,Organon of Medicine,A condition of Bone Pain characterized by Breakbone fever in Homeopathic Indication context.
YO2057,Meditation Focus,Yoga Therapy,"Dhyana,Concentration",TM2-YO5552,Yoga Sutras,A condition of Dhyana characterized by Concentration in Yoga Therapy context.
HO2058,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO1335,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
SI2059,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI5395,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2060,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI2836,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
UN2061,Niqras,Unani Disease,"Gout,Podagra",TM2-UN4112,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
AY2062,Ashmari,Ayurvedic Disease,"Calculus,Stones",TM2-AY3861,Charaka Samhita,A condition of Calculus characterized by Stones in Ayurvedic Disease context.
UN2063,Hikka,Unani Disease,"Pruritus,Itching",TM2-UN3917,Canon of Medicine,A condition of Pruritus characterized by Itching in Unani Disease context.
AY2064,Grahani,Ayurvedic Disease,"IBS,Digestive disorder",TM2-AY5733,Charaka Samhita,A condition of IBS characterized by Digestive disorder in Ayurvedic Disease context.
AY2065,Kasa,Ayurvedic Disease,"Cough,Bronchitis",TM2-AY5082,Charaka Samhita,A condition of Cough characterized by Bronchitis in Ayurvedic Disease context.
SI2066,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI1668,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2067,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI3945,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
UN2068,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN1500,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
SI2069,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI6884,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2070,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI4737,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
SI2071,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI3192,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2072,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI2774,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
UN2073,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN4769,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
HO2074,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO3869,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
HO2075,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO8396,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
HO2076,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO5105,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
UN2077,Niqras,Unani Disease,"Gout,Podagra",TM2-UN3097,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
SI2078,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI5358,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
AY2079,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY5436,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
SI2080,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI4091,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
YO2081,Back Pain Management,Yoga Therapy,"Lumbar Spondylosis,Spine care",TM2-YO5328,Yoga Sutras,A condition of Lumbar Spondylosis characterized by Spine care in Yoga Therapy context.
SI2082,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI6115,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
YO2083,Meditation Focus,Yoga Therapy,"Dhyana,Concentration",TM2-YO7103,Yoga Sutras,A condition of Dhyana characterized by Concentration in Yoga Therapy context.
HO2084,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO9293,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
SI2085,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI5189,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
AY2086,Ashmari,Ayurvedic Disease,"Calculus,Stones",TM2-AY6895,Charaka Samhita,A condition of Calculus characterized by Stones in Ayurvedic Disease context.
AY2087,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY8048,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
AY2088,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY7121,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
SI2089,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI4254,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
SI2090,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI5471,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
UN2091,Suda,Unani Disease,"Headache,Cephalalgia",TM2-UN2492,Canon of Medicine,A condition of Headache characterized by Cephalalgia in Unani Disease context.
YO2092,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO3444,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
HO2093,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO7239,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
AY2094,Shoola,Ayurvedic Disease,"Colic,Abdominal pain",TM2-AY5435,Charaka Samhita,A condition of Colic characterized by Abdominal pain in Ayurvedic Disease context.
HO2095,Ignatia State,Homeopathic Indication,"Grief,Hysteria",TM2-HO1575,Organon of Medicine,A condition of Grief characterized by Hysteria in Homeopathic Indication context.
UN2096,Zukan,Unani Disease,"Common Cold,Running nose",TM2-UN4123,Canon of Medicine,A condition of Common Cold characterized by Running nose in Unani Disease context.
AY2097,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY6539,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
UN2098,Laqwa,Unani Disease,"Facial Palsy,Face paralysis",TM2-UN3072,Canon of Medicine,A condition of Facial Palsy characterized by Face paralysis in Unani Disease context.
SI2099,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI4157,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
YO2100,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO4226,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
AY2101,Shoola,Ayurvedic Disease,"Colic,Abdominal pain",TM2-AY2781,Charaka Samhita,A condition of Colic characterized by Abdominal pain in Ayurvedic Disease context.
UN2102,Zukan,Unani Disease,"Common Cold,Running nose",TM2-UN5971,Canon of Medicine,A condition of Common Cold characterized by Running nose in Unani Disease context.
AY2103,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY2552,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
HO2104,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO5646,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
SI2105,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI3782,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
UN2106,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN8921,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
AY2107,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY8300,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
SI2108,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI4060,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2109,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI6042,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
AY2110,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY3925,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
HO2111,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO4431,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
AY2112,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY5934,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
UN2113,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN4990,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
UN2114,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN1621,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
HO2115,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO1645,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
SI2116,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI7670,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
HO2117,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO2725,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
AY2118,Kasa,Ayurvedic Disease,"Cough,Bronchitis",TM2-AY6204,Charaka Samhita,A condition of Cough characterized by Bronchitis in Ayurvedic Disease context.
YO2119,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO7107,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
HO2120,Pulsatilla Profile,Homeopathic Indication,"Weepiness,Changeable",TM2-HO5812,Organon of Medicine,A condition of Weepiness characterized by Changeable in Homeopathic Indication context.
SI2121,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI7626,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
UN2122,Zukan,Unani Disease,"Common Cold,Running nose",TM2-UN3429,Canon of Medicine,A condition of Common Cold characterized by Running nose in Unani Disease context.
HO2123,Pulsatilla Profile,Homeopathic Indication,"Weepiness,Changeable",TM2-HO4823,Organon of Medicine,A condition of Weepiness characterized by Changeable in Homeopathic Indication context.
SI2124,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI3958,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
HO2125,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO6915,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
UN2126,Niqras,Unani Disease,"Gout,Podagra",TM2-UN6433,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
AY2127,Amlapitta,Ayurvedic Disease,"Dyspepsia,Sour indigestion",TM2-AY3306,Charaka Samhita,Acid dyspepsia characterized by sour belching and heartburn
AY2128,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY8051,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
UN2129,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN4283,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
YO2130,Back Pain Management,Yoga Therapy,"Lumbar Spondylosis,Spine care",TM2-YO2276,Yoga Sutras,A condition of Lumbar Spondylosis characterized by Spine care in Yoga Therapy context.
HO2131,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO10809,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
SI2132,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI3960,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
HO2133,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO3937,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
AY2134,Shwasa,Ayurvedic Disease,"Asthma,Breathing difficulty",TM2-AY7142,Charaka Samhita,A condition of Asthma characterized by Breathing difficulty in Ayurvedic Disease context.
SI2135,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI4822,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
YO2136,Flexibility Training,Yoga Therapy,"Stiffness,Mobility",TM2-YO3625,Yoga Sutras,A condition of Stiffness characterized by Mobility in Yoga Therapy context.
SI2137,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI9331,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
HO2138,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO8773,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
SI2139,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI5591,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2140,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI3956,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
HO2141,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO11977,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
YO2142,Back Pain Management,Yoga Therapy,"Lumbar Spondylosis,Spine care",TM2-YO1963,Yoga Sutras,A condition of Lumbar Spondylosis characterized by Spine care in Yoga Therapy context.
AY2143,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY11880,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
AY2144,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY9862,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
UN2145,Niqras,Unani Disease,"Gout,Podagra",TM2-UN9812,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
UN2146,Suda,Unani Disease,"Headache,Cephalalgia",TM2-UN2332,Canon of Medicine,A condition of Headache characterized by Cephalalgia in Unani Disease context.
UN2147,Zukan,Unani Disease,"Common Cold,Running nose",TM2-UN6139,Canon of Medicine,A condition of Common Cold characterized by Running nose in Unani Disease context.
AY2148,Amavata,Ayurvedic Disease,"Rheumatoid Arthritis,Joint swelling",TM2-AY4155,Charaka Samhita,A condition of Rheumatoid Arthritis characterized by Joint swelling in Ayurvedic Disease context.
YO2149,Back Pain Management,Yoga Therapy,"Lumbar Spondylosis,Spine care",TM2-YO2362,Yoga Sutras,A condition of Lumbar Spondylosis characterized by Spine care in Yoga Therapy context.
SI2150,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI4562,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
HO2151,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO7905,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
UN2152,Laqwa,Unani Disease,"Facial Palsy,Face paralysis",TM2-UN8636,Canon of Medicine,A condition of Facial Palsy characterized by Face paralysis in Unani Disease context.
AY2153,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY4395,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
YO2154,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO7929,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
HO2155,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO10537,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
AY2156,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY7953,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
UN2157,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN7111,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
UN2158,Laqwa,Unani Disease,"Facial Palsy,Face paralysis",TM2-UN10555,Canon of Medicine,A condition of Facial Palsy characterized by Face paralysis in Unani Disease context.
SI2159,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI4528,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
UN2160,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN3105,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
AY2161,Amlapitta,Ayurvedic Disease,"Dyspepsia,Sour indigestion",TM2-AY4947,Charaka Samhita,Acid dyspepsia characterized by sour belching and heartburn
HO2162,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO8516,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
AY2163,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY8505,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
AY2164,Shwasa,Ayurvedic Disease,"Asthma,Breathing difficulty",TM2-AY12039,Charaka Samhita,A condition of Asthma characterized by Breathing difficulty in Ayurvedic Disease context.
UN2165,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN6495,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
HO2166,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO3932,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
HO2167,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO3263,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
AY2168,Amlapitta,Ayurvedic Disease,"Dyspepsia,Sour indigestion",TM2-AY7316,Charaka Samhita,Acid dyspepsia characterized by sour belching and heartburn
AY2169,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY3034,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
SI2170,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI8054,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
YO2171,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO5210,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
SI2172,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI9715,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
HO2173,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO13661,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
YO2174,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO5009,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
AY2175,Hridroga,Ayurvedic Disease,"Heart Disease,Cardiac disorder",TM2-AY5091,Charaka Samhita,A condition of Heart Disease characterized by Cardiac disorder in Ayurvedic Disease context.
SI2176,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI7547,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
UN2177,Hikka,Unani Disease,"Pruritus,Itching",TM2-UN7724,Canon of Medicine,A condition of Pruritus characterized by Itching in Unani Disease context.
UN2178,Suda,Unani Disease,"Headache,Cephalalgia",TM2-UN3975,Canon of Medicine,A condition of Headache characterized by Cephalalgia in Unani Disease context.
YO2179,Back Pain Management,Yoga Therapy,"Lumbar Spondylosis,Spine care",TM2-YO5953,Yoga Sutras,A condition of Lumbar Spondylosis characterized by Spine care in Yoga Therapy context.
SI2180,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI8480,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
UN2181,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN4296,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
SI2182,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI9489,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
UN2183,Laqwa,Unani Disease,"Facial Palsy,Face paralysis",TM2-UN13674,Canon of Medicine,A condition of Facial Palsy characterized by Face paralysis in Unani Disease context.
AY2184,Ashmari,Ayurvedic Disease,"Calculus,Stones",TM2-AY6743,Charaka Samhita,A condition of Calculus characterized by Stones in Ayurvedic Disease context.
SI2185,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI2405,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
AY2186,Shoola,Ayurvedic Disease,"Colic,Abdominal pain",TM2-AY6638,Charaka Samhita,A condition of Colic characterized by Abdominal pain in Ayurvedic Disease context.
UN2187,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN8096,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
AY2188,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY2137,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
YO2189,Core Strength,Yoga Therapy,"Abdominal Tone,Strength",TM2-YO1710,Yoga Sutras,A condition of Abdominal Tone characterized by Strength in Yoga Therapy context.
